start,end,sample,lien,kp
102/07/15,102/07/17,1089,40.00%,37.00%
102/09/25,102/09/26,1049,42.00%,32.00%
102/09/25,102/09/25,764,31.70%,17.00%
102/11/22,102/11/22,810,33.50%,39.10%
102/12/01,102/12/02,952,51.10%,38.30%
102/12/11,102/12/13,1101,23.77%,35.65%
102/12/17,102/12/17,824,31.00%,26.00%
102/12/16,102/12/19,1023,41.00%,38.00%
102/12/26,102/12/30,1025,44.00%,47.00%
103/01/27,103/01/27,766,31.00%,33.00%
103/02/06,103/02/07,1152,30.72%,38.90%
103/02/24,103/02/24,911,45.00%,39.00%
103/02/24,103/02/24,959,41.00%,37.00%
103/02/24,103/02/24,822,41.41%,41.17%
103/03/03,103/03/05,1112,43.00%,42.00%
103/03/03,103/03/05,1195,39.41%,42.10%
103/04/11,103/04/11,NA,32.50%,34.30%
103/04/11,103/04/13,1140,48.76%,36.00%
103/04/17,103/04/17,352,50.00%,35.51%
103/04/22,103/04/22,807,47.00%,38.00%
103/05/05,103/05/05,716,33.40%,36.30%
103/05/29,103/05/29,NA,40.10%,41.40%
103/06/06,103/06/06,867,39.00%,45.00%
103/06/07,103/06/07,NA,36.73%,47.35%
103/06/12,103/06/12,NA,28.00%,43.00%
103/06/13,103/06/13,1008,34.00%,34.00%
103/06/13,103/06/13,629,24.72%,51.36%
103/06/13,103/06/13,1073,24.10%,41.80%
103/06/23,103/06/23,946,29.00%,43.00%
103/06/30,103/06/30,NA,24.40%,31.00%
103/07/02,103/07/02,1055,23.83%,43.69%
103/07/11,103/07/11,1164,32.82%,44.33%
103/07/12,103/07/12,NA,38.00%,42.00%
103/07/15,103/07/15,879,30.90%,38.60%
103/07/29,103/07/29,1083,33.47%,29.78%
103/07/31,103/07/31,1188,32.41%,45.88%
103/08/05,103/08/05,1062,23.32%,42.98%
103/08/08,103/08/08,711,30.10%,39.50%
103/08/20,103/08/20,1047,33.00%,44.00%
103/08/22,103/08/22,1074,27.70%,41.10%
103/08/23,103/08/23,NA,27.30%,33.40%
103/09/01,103/09/01,NA,37.20%,45.10%
103/09/01,103/09/01,NA,31.00%,42.00%
103/09/08,103/09/08,1134,37.13%,44.18%
103/09/15,103/09/15,1084,25.00%,42.80%
103/09/16,103/09/16,1079,30.90%,35.00%
103/09/16,103/09/16,1079,28.80%,40.20%
103/09/18,103/09/18,1107,33.00%,45.00%
103/09/20,103/09/20,NA,24.80%,33.90%
103/09/25,103/09/25,NA,32.00%,42.00%
103/09/29,103/09/29,700,35.00%,43.00%
103/10/04,103/10/04,NA,31.20%,44.40%
103/10/06,103/10/06,1070,28.00%,46.60%
103/10/07,103/10/07,1056,24.63%,41.61%
103/10/08,103/10/08,950,24.40%,33.80%
